"","spp","species","family","morphology","cols","abundance_05","abundance_pair","polyps_cm2","eggC","eggN","eggC.se","m.int","m.slp","f.int","f.slp","f.int.const","g.int","g.slp","g.var","s.int","s.slp","s.slp.2","r.int","r.err","p.int","p.slp","p.sig","f.colony","p_mort","f.cm2","min.r","survcm","av.surv","size.dat","size.ss"
"1","Acy","Acropora cytherea","Acroporidae","tabular","#a6cee3",81,"Rare",79.25,42.58,1.607,2.27293251598507,1.08708514682416,1.26537973519257,15.1576295391754,2.34311717322365,15.2331137298838,-0.118762476734426,0.90140488211901,0.0774082824851652,2.35232145220413,0.85952402922076,-0.251337751029294,0.0897001891935676,0.00470613208896708,-0.887619751387314,-1.00725558270312,1.27085167620381,1403606.46478873,0.755264764418132,228.139852308294,0.00356633408229737,0.448340109838436,0.74144182820357,-0.615910270506102,-0.83088898224022
"2","Adi","Acropora cf. digitifera","Acroporidae","digitate","#33a02c",3624,"Common",84.481944444,33.8264705882353,1.37970588235294,3.19983984670534,10.3537433092839,4.70404508804476,15.9785851119234,2.67626154788445,15.766685385129,-0.108761635401436,0.936182577599736,0.0207036444110059,1.99919518242275,-1.6434961031876,-0.839703497618389,0.0205662866301313,0.00524915760040448,-2.42537507532426,-1.08116944253845,0.819085770434665,227891.14619883,0.434617492399882,474.368313815099,0.0143961036123268,0.766235444116737,0.849851931461794,-1.31703697361264,-1.97583934982524
"3","Ahu","Acropora humilis","Acroporidae","digitate","#b2df8a",700,"Rare",57.45138889,41.9888888888889,1.49925925925926,4.62404529300859,13.4780361138371,5.78628459057103,15.6127958333487,2.58531805166894,15.5162102267763,-0.138029878345475,0.929309480455861,0.0369987605912999,-2.7818794925889,-7.31589246397996,-2.45026422659479,0.0204340193334889,0.00209272795144095,-2.00406143927545,-0.817941729274487,0.964616961813581,97455.9513888889,0.408981358915481,354.991732983332,0.0255258294511518,0.727093975521341,0.820150686054666,-1.59863439626908,-1.82506361701561
"4","Ahy","Acropora hyacinthus","Acroporidae","tabular","#1f78b4",3666,"Common",80.21875,38.7131578947368,1.31052631578947,4.26520624973445,5.16106923841086,3.03318906718589,15.3447545472367,2.44228381421912,15.4041849855574,-0.131813154636672,0.942759004978876,0.114982090504524,1.27501643790215,-1.3296987056304,-0.94622083759106,0.0746303983760971,0.00669730948291986,-1.05145866972729,-1.16674116967894,1.3111722007257,1084069.18543046,0.782794052864744,377.609548611111,0.00525545102475146,0.486620298362707,0.71775474694177,-0.695424809209077,-1.43850454641876
"5","Ain","Acropora intermedia","Acroporidae","staghorn","#6a3d9a",535,"Common",66.375,40.3421052631579,1.38473684210526,6.35656404299906,2.72449777875953,1.25573440280012,15.1021035601016,2.44123040635834,15.1907138819021,-0.295459528076089,0.897642820868408,0.148459261783295,6.6193061181234,4.35620683513716,0.60252172029756,0.0501973523727928,0.0506255738535192,-0.493087560748354,-0.762970714235528,1.37179741622005,369881.508928571,0.7374688034075,247.144810267857,0.0147842245130442,0.440557144916881,0.694975190516434,-1.11383142617297,-1.72389726355989
"6","Ami","Acropora millepora","Acroporidae","corymbose","#ffff99",240,"Rare",135.325,25.6636363636364,0.890909090909091,3.81137054805033,5.76616089428297,2.43175682643811,15.926296639381,2.47485910044311,15.9974950591934,-0.329288923251425,0.876237971363456,0.0988838109676484,-2.74813258403057,-6.07540711990568,-2.179908209837,0.0249050346061092,0.00366454194641693,-1.00481800399902,-0.600996189179714,1.28582251663918,336478.146666667,0.549134510107453,579.604493055556,0.0186733574939864,0.44364741582642,0.607007944244968,-1.48639063399035,-1.47846778727741
"7","Ana","Acropora nasuta","Acroporidae","corymbose","#ff7f00",1624,"Common",71.2875,27.9518518518519,1.07444444444444,4.65901692918568,13.2172832108726,6.05486721772923,16.2371555938643,2.79073477960973,15.8603245817829,-0.15625740971884,0.927746434241699,0.0564203892027449,-1.34522160067214,-4.41340865604056,-1.77751056847799,0.0308424460683449,0.00261217113948734,-1.10361969535884,-0.503525166164558,1.12027984225906,264143.589403973,0.475876403664382,537.201670115894,0.0160223741251814,0.355885010299412,0.562914077281894,-1.35616522381817,-1.74635067787376
"8","Aro","Acropora robusta","Acroporidae","staghorn","#cab2d6",249,"Rare",74.5879629633333,50.6733333333333,2.04,3.59095424378429,6.3131954641324,3.14300987034652,14.9937466188843,2.37293106048992,15.1576319271541,-0.0964734881703679,0.959432745959675,0.0537750247320318,2.6557167854342,-0.871566144140556,-0.984732994322339,0.0496085430385522,0.010371550462781,-1.58113437028749,-1.21129152370357,1.15791098685099,389817.6,0.698770236397429,272.775547269301,0.0072100526603356,0.465617717558491,0.771741132648754,-0.972196389676161,-1.17986298425122
"9","Asp","Acropora spathulata","Acroporidae","corymbose","#fdbf6f",598,"Common",135.325,36.8347826086957,1.37,6.36700362634306,9.66846429049003,4.41208356744379,16.191928024184,2.6371176670891,16.0381834138111,-0.146294772631448,0.928346388041151,0.0779304672301224,5.10694701474081,2.53164241217923,0.1133210143741,0.0383335488709758,0.00422418757822414,-1.61950549642272,-1.00481561741406,1.12844177652826,351609.302158273,0.596312967891598,614.430668465228,0.0274716505985724,0.446385382331161,0.650829078975865,-1.309072514318,-1.76207317783211
"10","Gpe","Goniastrea pectinata","Merulinidae","massive","#fb9a99",135,"Rare",5.5625,9.55741379310345,0.460689655172414,4.59022308644954,10.2396181000892,3.67040030535178,15.9505118161062,2.49515634451291,16.013812819685,-0.245297865266782,0.885118335965978,0.0306392345618672,-1.06421332289346,-5.50254796243452,-1.68138578287301,0.0136714742077767,0.00243557050589463,-2.6445410978958,-0.9726797678013,0.932682198362133,74193.821192053,0.331993710978664,516.643280905077,0.0801366500413997,0.821152425065933,0.847158857789224,-2.05342023736197,-2.12478002797014
"11","Gre","Goniastrea retiformis","Merulinidae","massive","#e31a1c",2938,"Common",11.1796875,10.6540833333333,0.624333333333333,6.71531588607064,4.58639398172203,1.81173948042154,16.0950813302817,2.71460890523932,15.7790115608469,-0.245297865266782,0.885118335965978,0.0306392345618672,19.9596311100554,12.513901277851,2.07887933769724,0.0156546848024164,0.00243757220512937,-2.6445410978958,-0.9726797678013,0.932682198362133,113986.827160494,0.331993710978664,381.949652777778,0.116146011087423,0.853430114098436,0.913414300739193,-1.62271325169783,-2.25371416591713
